Unnamed: 0,label_x,url,brand,name,skin_type,price,concern,cs,label_y,img
436,cleanser,https://www.sephora.com/product/mega-mushroom-skin-relief-micellar-cleanser-P401570?skuId=1746593&icid2=products%20grid:p401570:product,origins,dr. andrew weil for origins™ mega-mushroom skin relief micellar cleanser,normal,$42.00 ,"dryness,,,",0.4082482904638631,Cleanser,https://www.sephora.com/productimages/sku/s1746593-main-zoom.jpg?imwidth=175
436,cleanser,https://www.sephora.com/product/mega-mushroom-skin-relief-micellar-cleanser-P401570?skuId=1746593&icid2=products%20grid:p401570:product,origins,dr. andrew weil for origins™ mega-mushroom skin relief micellar cleanser,dry,$42.00 ,"dryness,,,",0.4082482904638631,Cleanser,https://www.sephora.com/productimages/sku/s1746593-main-zoom.jpg?imwidth=175
436,cleanser,https://www.sephora.com/product/mega-mushroom-skin-relief-micellar-cleanser-P401570?skuId=1746593&icid2=products%20grid:p401570:product,origins,dr. andrew weil for origins™ mega-mushroom skin relief micellar cleanser,combination,$42.00 ,"dryness,,,",0.4082482904638631,Cleanser,https://www.sephora.com/productimages/sku/s1746593-main-zoom.jpg?imwidth=175
436,cleanser,https://www.sephora.com/product/mega-mushroom-skin-relief-micellar-cleanser-P401570?skuId=1746593&icid2=products%20grid:p401570:product,origins,dr. andrew weil for origins™ mega-mushroom skin relief micellar cleanser,oily,$42.00 ,"dryness,,,",0.4082482904638631,Cleanser,https://www.sephora.com/productimages/sku/s1746593-main-zoom.jpg?imwidth=175
437,cleanser,https://www.sephora.com/product/clinique-all-about-clean-trade-2-in-1-cleansing-exfoliating-jelly-P469451?skuId=2421766&icid2=products%20grid:p469451:product,clinique,all about clean™ 2-in-1 cleansing + exfoliating jelly,normal,$28.00 ,"pores, dullness,oiliness,",0.2357022603955159,Cleanser,https://www.sephora.com/productimages/sku/s2421766-main-zoom.jpg?imwidth=175
437,cleanser,https://www.sephora.com/product/clinique-all-about-clean-trade-2-in-1-cleansing-exfoliating-jelly-P469451?skuId=2421766&icid2=products%20grid:p469451:product,clinique,all about clean™ 2-in-1 cleansing + exfoliating jelly,dry,$28.00 ,"pores, dullness,oiliness,",0.2357022603955159,Cleanser,https://www.sephora.com/productimages/sku/s2421766-main-zoom.jpg?imwidth=175
437,cleanser,https://www.sephora.com/product/clinique-all-about-clean-trade-2-in-1-cleansing-exfoliating-jelly-P469451?skuId=2421766&icid2=products%20grid:p469451:product,clinique,all about clean™ 2-in-1 cleansing + exfoliating jelly,combination,$28.00 ,"pores, dullness,oiliness,",0.2357022603955159,Cleanser,https://www.sephora.com/productimages/sku/s2421766-main-zoom.jpg?imwidth=175
437,cleanser,https://www.sephora.com/product/clinique-all-about-clean-trade-2-in-1-cleansing-exfoliating-jelly-P469451?skuId=2421766&icid2=products%20grid:p469451:product,clinique,all about clean™ 2-in-1 cleansing + exfoliating jelly,oily,$28.00 ,"pores, dullness,oiliness,",0.2357022603955159,Cleanser,https://www.sephora.com/productimages/sku/s2421766-main-zoom.jpg?imwidth=175
438,cleanser,https://www.sephora.com/product/hydro-ungrip-makeup-remover-cleansing-water-P500101?skuId=2572881&icid2=products%20grid:p500101:product,milk makeup,hydro ungrip makeup remover + cleansing water,normal,$32.00 ,"dryness,,,",0.4082482904638631,Cleanser,https://www.sephora.com/productimages/sku/s2572881-main-zoom.jpg?pb=clean-at-sephora&imwidth=175
438,cleanser,https://www.sephora.com/product/hydro-ungrip-makeup-remover-cleansing-water-P500101?skuId=2572881&icid2=products%20grid:p500101:product,milk makeup,hydro ungrip makeup remover + cleansing water,dry,$32.00 ,"dryness,,,",0.4082482904638631,Cleanser,https://www.sephora.com/productimages/sku/s2572881-main-zoom.jpg?pb=clean-at-sephora&imwidth=175
438,cleanser,https://www.sephora.com/product/hydro-ungrip-makeup-remover-cleansing-water-P500101?skuId=2572881&icid2=products%20grid:p500101:product,milk makeup,hydro ungrip makeup remover + cleansing water,combination,$32.00 ,"dryness,,,",0.4082482904638631,Cleanser,https://www.sephora.com/productimages/sku/s2572881-main-zoom.jpg?pb=clean-at-sephora&imwidth=175
438,cleanser,https://www.sephora.com/product/hydro-ungrip-makeup-remover-cleansing-water-P500101?skuId=2572881&icid2=products%20grid:p500101:product,milk makeup,hydro ungrip makeup remover + cleansing water,oily,$32.00 ,"dryness,,,",0.4082482904638631,Cleanser,https://www.sephora.com/productimages/sku/s2572881-main-zoom.jpg?pb=clean-at-sephora&imwidth=175
439,cleanser,https://www.sephora.com/product/juju-bar-P392249?skuId=1679273&icid2=products%20grid:p392249:product,drunk elephant,juju exfoliating bar,normal,$28.00 ,"dark spots, dullness,uneven texture,oiliness,",0.2041241452319315,Cleanser,https://www.sephora.com/productimages/sku/s1679273-main-zoom.jpg?pb=clean-at-sephora&imwidth=175
439,cleanser,https://www.sephora.com/product/juju-bar-P392249?skuId=1679273&icid2=products%20grid:p392249:product,drunk elephant,juju exfoliating bar,dry,$28.00 ,"dark spots, dullness,uneven texture,oiliness,",0.2041241452319315,Cleanser,https://www.sephora.com/productimages/sku/s1679273-main-zoom.jpg?pb=clean-at-sephora&imwidth=175
439,cleanser,https://www.sephora.com/product/juju-bar-P392249?skuId=1679273&icid2=products%20grid:p392249:product,drunk elephant,juju exfoliating bar,combination,$28.00 ,"dark spots, dullness,uneven texture,oiliness,",0.2041241452319315,Cleanser,https://www.sephora.com/productimages/sku/s1679273-main-zoom.jpg?pb=clean-at-sephora&imwidth=175
439,cleanser,https://www.sephora.com/product/juju-bar-P392249?skuId=1679273&icid2=products%20grid:p392249:product,drunk elephant,juju exfoliating bar,oily,$28.00 ,"dark spots, dullness,uneven texture,oiliness,",0.2041241452319315,Cleanser,https://www.sephora.com/productimages/sku/s1679273-main-zoom.jpg?pb=clean-at-sephora&imwidth=175
440,cleanser,https://www.sephora.com/product/hydrating-cream-cleanser-with-hyaluronic-acid-P500116?skuId=2583003&icid2=products%20grid:p500116:product,community sixty-six,hydrating cream cleanser with hyaluronic acid,normal,$16.00 ,"dryness, dullness,oiliness,",0.4714045207910318,Cleanser,https://www.sephora.com/productimages/sku/s2583003-main-zoom.jpg?pb=clean-at-sephora&imwidth=175
440,cleanser,https://www.sephora.com/product/hydrating-cream-cleanser-with-hyaluronic-acid-P500116?skuId=2583003&icid2=products%20grid:p500116:product,community sixty-six,hydrating cream cleanser with hyaluronic acid,combination,$16.00 ,"dryness, dullness,oiliness,",0.4714045207910318,Cleanser,https://www.sephora.com/productimages/sku/s2583003-main-zoom.jpg?pb=clean-at-sephora&imwidth=175
441,cleanser,https://www.sephora.com/product/acne-solutions-cleansing-gel-P393501?skuId=1677137&icid2=products%20grid:p393501:product,clinique,acne solutions™ cleansing gel,normal,$26.00 ,"pores, acne,blemishes,oiliness,",0.2041241452319315,Cleanser,https://www.sephora.com/productimages/sku/s1677137-main-zoom.jpg?imwidth=175
441,cleanser,https://www.sephora.com/product/acne-solutions-cleansing-gel-P393501?skuId=1677137&icid2=products%20grid:p393501:product,clinique,acne solutions™ cleansing gel,dry,$26.00 ,"pores, acne,blemishes,oiliness,",0.2041241452319315,Cleanser,https://www.sephora.com/productimages/sku/s1677137-main-zoom.jpg?imwidth=175
